Name,PointValue,TickSize,Url
KHC,1,0.01,http://finance.yahoo.com/q?s=KHC
KIM,1,0.01,http://finance.yahoo.com/q?s=KIM
KLAC,1,0.01,http://finance.yahoo.com/q?s=klac
KMB,1,0.01,http://finance.yahoo.com/q?s=KMB
KMI,1,0.01,http://finance.yahoo.com/q?s=KMI
KMX,1,0.01,http://finance.yahoo.com/q?s=KMX
KO,1,0.01,http://finance.yahoo.com/q?s=ko
KR,1,0.01,http://finance.yahoo.com/q?s=KR
KSU,1,0.01,http://finance.yahoo.com/q?s=KSU
L,1,0.01,http://finance.yahoo.com/q?s=L
LB,1,0.01,http://finance.yahoo.com/q?s=L
LDOS,1,0.01,https://finance.yahoo.com/quote/LDOS
LEG,1,0.01,http://finance.yahoo.com/q?s=LEG
LEN,1,0.01,http://finance.yahoo.com/q?s=LEN
LH,1,0.01,http://finance.yahoo.com/q?s=LH
